id,retweets,likes,replies,quotes,url,text,lang,sensitive,has_media,words,Dominant_topic,Dominant_score,topic_1,topic_2
1377090096055263238,1,0,0,0,https://pbs.twimg.com/media/ExxoAelVgAM_AVn.jpg,"“Good vibes” finally circling around Jordan Spieth, but he can’t win the Masters on that alone. 

STORY &gt;&gt;&gt; https://t.co/5ann3puVdA by @J_Polychronis https://t.co/bpgfmIGA08",en,False,True,"['good', 'vibe', 'finally', 'circle', 'jordan', 'spieth', 'win', 'master', 'alone', 'story', 'gt', 'gt', 'gt', 'puvda', 'bpgfmiga']",2,0.9637628793716431,0.03623708337545395,0.9637628793716431
1377084502418264075,1,14,0,1,https://pbs.twimg.com/media/ExxjDfuWgAAIw6R.jpg,🚨Jordan Spieth told Golf Channel that he’s looking to fine tune the game this week ahead of The Masters 👀 https://t.co/M8PZqjIlmR,en,False,True,"['jordan', 'spieth', 'tell', 'golf', 'channel', 'look', 'fine', 'tune', 'game', 'week', 'ahead', 'master', 'pzqjilmr']",2,0.9587602019309998,0.04123980179429054,0.9587602019309998
1377028160496099330,0,0,0,0,https://pbs.twimg.com/media/ExwvipHUUAIdXhh.jpg,"@OsisAnnie @RobBoltonGolf @valerotxopen @PGATOURSMartin That's a good looking team, mine is similar but I am also very keen on Sam Ryder, I had him in last week's 'early team' but chickened out. If I had any confidence in my gut I would put him in ahead of Spieth.... https://t.co/wdZO0MeUJg",en,False,True,"['good', 'look', 'team', 'mine', 'similar', 'also', 'keen', 'sam', 'ryder', 'last', 'week', 'early', 'team', 'chickene', 'confidence', 'gut', 'put', 'ahead', 'spieth', 'wdzo', 'meujg']",2,0.9760591983795166,0.02394079975783825,0.9760591983795166
1377009006892433413,0,0,0,0,https://pbs.twimg.com/media/ExweZP0WUAUoFyI.jpg,"AUSTIN, Texas (AP) - Jordan Spieth tapped in for bogey to win the Masters, bent over briefly and then straightened with a smile. That was his favorite image from his 2015 victory. Read more...  #ENMNEWSHEALTH

https://t.co/smeAUZWSHu https://t.co/oPx4NK4k3K",en,False,True,"['austin', 'texas', 'jordan', 'spieth', 'tap', 'bogey', 'win', 'master', 'bent', 'briefly', 'straighten', 'smile', 'favorite', 'image', 'victory', 'read', 'enmnewshealth', 'smeauzwshu', 'opx']",2,0.9731780886650085,0.026821959763765335,0.9731780886650085
1377007973806014464,0,0,0,0,https://pbs.twimg.com/media/Exwc-3eWUAARumh.png,"Good to hear @JordanSpieth @UnderArmour sounding so positive ahead of this week's @valerotxopen @TPCSanAntonio &amp; also with @TheMasters now 8 days away 👏

Read - https://t.co/R8EDVoaYaA https://t.co/3QjEjeZpHp",en,False,True,"['good', 'hear', 'sound', 'positive', 'ahead', 'week', 'also', 'day', 'away', 'read', 'edvoayaa', 'qjejezphp']",2,0.9597044587135315,0.04029555991292,0.9597044587135315
1376984460910989313,0,0,0,0,https://pbs.twimg.com/media/ExwIEf8VEAAmz9A.jpg,Golf: Resurgent Spieth 'in a better place' ahead of Masters https://t.co/tLzs8yx2x4 https://t.co/jX23gOmfzu,en,False,True,"['golf', 'resurgent', 'spieth', 'well', 'place', 'ahead', 'master', 'tlzs', 'jx', 'gomfzu']",2,0.9462419152259827,0.05375804007053375,0.9462419152259827
1376977685822382081,0,0,0,0,https://pbs.twimg.com/media/ExwB6ISU4AEh95G.jpg,Resurgent Spieth 'in a better place' ahead of Masters https://t.co/fKnkKQwGny https://t.co/l4dXa604jw,en,False,True,"['resurgent', 'spieth', 'well', 'place', 'ahead', 'master', 'fknkkqwgny', 'dxa', 'jw']",2,0.9462876915931702,0.05371231958270073,0.9462876915931702
1376977668638273536,0,0,0,0,https://pbs.twimg.com/media/ExwB5GwVcAIbZra.jpg,Resurgent Spieth 'in a better place' ahead of Masters https://t.co/1aLSjCiDvj https://t.co/zJ702Djmwo,en,False,True,"['resurgent', 'spieth', 'well', 'place', 'ahead', 'master', 'alsjcidvj', 'djmwo']",2,0.9403069615364075,0.05969305709004402,0.9403069615364075
1376975419035983872,0,0,0,0,https://pbs.twimg.com/media/Exv_2DwUcAErjVn.jpg,"Golf: Resurgent Spieth 'di tempat yang lebih baik' di hadapan Masters - https://t.co/znbYSTjsOj

                &lt;!-- Content data --&gt;
(Reuters) – Jordan Spieth mungkin berada di tengah-tengah k https://t.co/OI3PnODZfn",in,False,True,"['golf', 'resurgent', 'spieth', 'di', 'tempat', 'lebih', 'baik', 'hadapan', 'master', 'content', 'datum', 'gt', 'reuter', 'jordan', 'spieth', 'mungkin', 'berada', 'tengah', 'tengah', 'pnodzfn']",2,0.9726717472076416,0.027328219264745712,0.9726717472076416
1376957462876655620,0,0,0,0,https://pbs.twimg.com/media/Exvvg90WEAAX7Vu.jpg,Jordan Spieth: Game 'definitely in a better place' - https://t.co/lu6Ng1vY90 https://t.co/I64smXuV9u,en,False,True,"['jordan', 'spieth', 'game', 'definitely', 'well', 'place', 'lu', 'smxuv']",2,0.9377249479293823,0.06227506697177887,0.9377249479293823
